USPS	GEOID	ANSICODE	NAME	LSAD	FUNCSTAT	ALAND	AWATER	ALAND_SQMI	AWATER_SQMI	INTPTLAT	INTPTLONG                                                                                                 
MO	2938000	02395492	Kansas City city	25	A	815018296	10547251	314.68	4.072	39.122361	-94.555117                                                                                                          
MO	2941348	02395669	Lee's Summit city	25	A	165484266	5221353	63.894	2.016	38.921601	-94.384763                                                                                                          
MO	2942032	02395700	Liberty city	25	A	76808151	328109	29.656	0.127	39.24127	-94.419445                                                                                                                  
MO	2954074	02395303	O'Fallon city	25	A	79059688	11608	30.525	0.004	38.784674	-90.720738                                                                                                                 
MO	2964550	02396498	St. Joseph city	25	A	114053817	2037799	44.036	0.787	39.75946	-94.821143                                                                                                             
MO	2965000	00767557	St. Louis city	25	A	159853177	11534970	61.72	4.454	38.635699	-90.244582                                                                                                             
MO	2970000	02395942	Springfield city	25	A	215503696	1520270	83.206	0.587	37.194157	-93.292642                                                                                                           
MO	2979820	02397311	Wildwood city	25	A	172704197	548875	66.681	0.212	38.577073	-90.667807                                                                                                               
MT	3006550	02409849	Billings city	25	A	118031217	277939	45.572	0.107	45.788538	-108.552475                                                                                                              
MT	3050200	02411124	Missoula city	25	A	90167687	491344	34.814	0.19	46.874359	-114.026136                                                                                                                
NE	3119595	00838031	Grand Island city	25	A	78003929	514070	30.117	0.198	40.921352	-98.358559                                                                                                            
NE	3128000	02395713	Lincoln city	25	A	258919827	3524104	99.97	1.361	40.808943	-96.677895                                                                                                                
NE	3137000	02396064	Omaha city	25	A	370316497	9352133	142.98	3.611	41.262705	-96.053475                                                                                                                 
NV	3206500	02409884	Boulder City city	25	A	539402961	83408	208.265	0.032	35.84376	-114.911553                                                                                                           
NV	3208500	02409959	Caliente city	25	A	137332501	0	53.024	0.	37.645755	-114.492926                                                                                                                      
NV	3224900	02410499	Fernley city	25	A	317850079	17443735	122.723	6.735	39.56477	-119.189433                                                                                                             
NV	3231900	02410741	Henderson city	25	A	312152600	1272345	120.523	0.491	36.008958	-115.0268                                                                                                             
NV	3240000	02411630	Las Vegas city	25	A	367421464	138524	141.862	0.053	36.233499	-115.264037                                                                                                            
NV	3246000	02411089	Mesquite city	25	A	82267298	1204149	31.764	0.465	36.81112	-114.125652                                                                                                               
NV	3251800	02411273	North Las Vegas city	25	A	272774324	112001	105.319	0.043	36.289865	-115.089181                                                                                                      
NV	3260600	02410923	Reno city	25	A	282289517	7338575	108.993	2.833	39.549097	-119.849907                                                                                                                
NV	3268400	02411949	Sparks city	25	A	94515618	289555	36.493	0.112	39.574341	-119.715154                                                                                                                 
NV	3285400	02412318	Yerington city	25	A	76395113	0	29.496	0.	38.955475	-119.110115                                                                                                                      
NH	3305140	00873545	Berlin city	25	A	158893882	2207705	61.349	0.852	44.484328	-71.277123                                                                                                                
NH	3312900	00873567	Claremont city	25	A	111766136	2323426	43.153	0.897	43.38647	-72.334496                                                                                                              
NH	3314200	00873569	Concord city	25	A	165662534	8362383	63.963	3.229	43.232493	-71.561252                                                                                                               
NH	3339300	00873635	Keene city	25	A	96068853	670813	37.092	0.259	42.953842	-72.306875                                                                                                                   
NH	3341300	00873643	Lebanon city	25	A	104389357	2507988	40.305	0.968	43.635428	-72.253837                                                                                                               
NH	3345140	00873658	Manchester city	25	A	85647672	4837288	33.069	1.868	42.984941	-71.444131                                                                                                             
NH	3350260	00873672	Nashua city	25	A	79860095	2330532	30.834	0.9	42.749074	-71.490544                                                                                                                   
NH	3365140	00873708	Rochester city	25	A	116603495	1076134	45.021	0.415	43.298493	-70.977005                                                                                                             
NJ	3421870	00885212	Estell Manor city	25	A	138271813	4653192	53.387	1.797	39.353933	-74.775135                                                                                                          
NJ	3446680	00885304	Millville city	25	A	108777882	6471270	41.999	2.499	39.390093	-75.054797                                                                                                             
NJ	3476070	00885428	Vineland city	25	A	177161906	1517205	68.403	0.586	39.465007	-74.997115                                                                                                              
NM	3502000	02409678	Albuquerque city	25	A	485017609	4358221	187.266	1.683	35.10478	-106.646809                                                                                                          
NM	3512150	02409985	Carlsbad city	25	A	81977407	716447	31.652	0.277	32.40079	-104.241012                                                                                                                
NM	3525800	02410487	Farmington city	25	A	89252675	1258140	34.461	0.486	36.753833	-108.18053                                                                                                             
NM	3539380	02411629	Las Cruces city	25	A	199256107	250841	76.933	0.097	32.326444	-106.789695                                                                                                            
NM	3563460	02410954	Rio Rancho city	25	A	267704985	674339	103.361	0.26	35.28507	-106.698867                                                                                                             
NM	3564930	02411003	Roswell city	25	A	76964808	155853	29.716	0.06	33.373442	-104.529393                                                                                                                 
NM	3570500	02411821	Santa Fe city	25	A	135282312	289025	52.233	0.112	35.661981	-105.981815                                                                                                              
NY	3611000	00978764	Buffalo city	25	A	104580246	31342098	40.379	12.101	42.892492	-78.859686                                                                                                             
NY	3651000	02395220	New York city	25	A	778180768	445408358	300.457	171.973	40.662712	-73.938677                                                                                                         
NY	3663000	00979426	Rochester city	25	A	92621741	3650730	35.761	1.41	43.169927	-77.616891                                                                                                               
NY	3663418	00979430	Rome city	25	A	193870118	2077000	74.854	0.802	43.226002	-75.489523                                                                                                                  
NC	3702140	02403120	Asheville city	25	A	117752532	994904	45.465	0.384	35.570972	-82.552725                                                                                                              
NC	3709060	02403956	Burlington city	25	A	79127233	4044460	30.551	1.562	36.076128	-79.4683                                                                                                               
NC	3712000	02404032	Charlotte city	25	A	804861702	5145348	310.759	1.987	35.209045	-80.83099                                                                                                             
NC	3714100	02404117	Concord city	25	A	165844238	90379	64.033	0.035	35.392094	-80.63551                                                                                                                  
NC	3719000	02403521	Durham city	25	A	302390832	2151920	116.754	0.831	35.978061	-78.899497                                                                                                               
NC	3722920	02403604	Fayetteville city	25	A	384006271	4708471	148.266	1.818	35.082766	-78.973515                                                                                                         
NC	3725580	02403684	Gastonia city	25	A	137442581	588406	53.067	0.227	35.248999	-81.184834                                                                                                               
NC	3728000	02403745	Greensboro city	25	A	346698458	13559940	133.861	5.236	36.09485	-79.823624                                                                                                           
NC	3728080	02403753	Greenville city	25	A	96970317	1978984	37.44	0.764	35.596431	-77.375256                                                                                                              
NC	3731060	02404693	Hickory city	25	A	82602438	271736	31.893	0.105	35.740092	-81.321818                                                                                                                 
NC	3731400	02404696	High Point city	25	A	148476518	3944048	57.327	1.523	35.990803	-79.992713                                                                                                            
NC	3734200	02404784	Jacksonville city	25	A	126397872	19741288	48.802	7.622	34.72973	-77.393661                                                                                                          
NC	3735200	02404816	Kannapolis city	25	A	89535475	2054362	34.57	0.793	35.479904	-80.647499                                                                                                              
NC	3743920	02404284	Monroe city	25	A	81134845	1602373	31.326	0.619	35.001591	-80.561277                                                                                                                 
NC	3755000	02404590	Raleigh city	25	A	387067224	2777414	149.447	1.072	35.831868	-78.641042                                                                                                              
NC	3757500	02404643	Rocky Mount city	25	A	115729521	539198	44.683	0.208	35.969322	-77.803783                                                                                                            
NC	3759280	02405419	Sanford city	25	A	81774261	717461	31.573	0.277	35.496723	-79.171883                                                                                                                 
NC	3774440	02405754	Wilmington city	25	A	133161266	4050494	51.414	1.564	34.209225	-77.885767                                                                                                            
NC	3774540	02405758	Wilson city	25	A	81290616	2258210	31.386	0.872	35.731488	-77.93075                                                                                                                  
NC	3775000	02405771	Winston-Salem city	25	A	345981526	3139441	133.584	1.212	36.102863	-80.260829                                                                                                        
ND	3801740	01035906	Alsen city	25	A	76029108	1352705	29.355	0.522	48.630456	-98.704271                                                                                                                  
ND	3807200	01035934	Bismarck city	25	A	89833566	1288028	34.685	0.497	46.814583	-100.770089                                                                                                              
ND	3825700	01036030	Fargo city	25	A	131658532	1316	50.834	0.001	46.8647	-96.82908                                                                                                                       
ND	3832060	01036064	Grand Forks city	25	A	75238095	488981	29.05	0.189	47.919595	-97.087328                                                                                                              
OH	3901000	01086993	Akron city	25	A	160405166	884027	61.933	0.341	41.080456	-81.521429                                                                                                                  
OH	3915000	01086201	Cincinnati city	25	A	201797482	4457951	77.914	1.721	39.140183	-84.505829                                                                                                            
OH	3916000	01085963	Cleveland city	25	A	201334007	12290112	77.735	4.745	41.478462	-81.679435                                                                                                            
OH	3918000	01086101	Columbus city	25	A	571675882	15168911	220.725	5.857	39.983938	-82.984882                                                                                                            
OH	3921000	01086167	Dayton city	25	A	144551936	2988000	55.812	1.154	39.784743	-84.199632                                                                                                                
OH	3931860	02394973	Green city	25	A	82963210	3877741	32.032	1.497	40.953816	-81.472042                                                                                                                  
OH	3947138	01086879	Mansfield city	25	A	79963610	152156	30.874	0.059	40.76672	-82.53082                                                                                                                 
OH	3961112	01086476	Pataskala city	25	A	75010292	247262	28.962	0.095	40.019795	-82.71988                                                                                                                
OH	3977000	01086537	Toledo city	25	A	208462505	8657577	80.488	3.343	41.664071	-83.581861                                                                                                                
OH	3977504	02397059	Trotwood city	25	A	78960809	56147	30.487	0.022	39.791838	-84.321834                                                                                                                 
OH	3988000	01086573	Youngstown city	25	A	87874707	1644609	33.929	0.635	41.099095	-80.645902                                                                                                             
OK	4002600	02409727	Ardmore city	25	A	129056414	5001682	49.829	1.931	34.196507	-97.131848                                                                                                               
OK	4006700	02409861	Blanchard city	25	A	78849921	287318	30.444	0.111	35.152343	-97.665221                                                                                                               
OK	4009050	02409914	Broken Arrow city	25	A	163067551	1510608	62.961	0.583	36.036529	-95.780996                                                                                                          
OK	4021900	02410368	Duncan city	25	A	111213322	12647199	42.94	4.883	34.481607	-97.960537                                                                                                                
OK	4023200	02410402	Edmond city	25	A	218709179	8042803	84.444	3.105	35.673807	-97.413076                                                                                                                
OK	4023700	02410416	El Reno city	25	A	206120438	1540769	79.584	0.595	35.541833	-97.961268                                                                                                               
OK	4023950	02410442	Enid city	25	A	191492368	214073	73.936	0.083	36.406702	-97.869861                                                                                                                   
OK	4041850	02411638	Lawton city	25	A	210916024	87763	81.435	0.034	34.619218	-98.421106                                                                                                                  
OK	4050050	02411201	Muskogee city	25	A	111266629	3944487	42.96	1.523	35.743797	-95.356405                                                                                                               
